date,relative_humidity_2m,City
2024-09-12,67.416664,Bursa
2024-09-12,79.916664,Çanakkale
2024-09-12,73.25,Düzce
2024-09-12,33.208332,Erzincan
2024-09-12,66.333336,Istanbul
2024-09-12,68.5,Izmir
2024-09-12,65.708336,Kocaeli
2024-09-12,69.041664,Manisa
2024-09-12,37.375,Mus
2024-09-12,71.875,Sakarya
2024-09-12,76.083336,Tekirdag
2024-09-12,47.375,Van
2024-09-11,64.833336,Balikesir
2024-09-11,43.916668,Bingöl
2024-09-11,68.666664,Bursa
2024-09-11,78.375,Çanakkale
2024-09-11,69.333336,Düzce
2024-09-11,35.25,Erzincan
2024-09-11,70.25,Istanbul
2024-09-11,72.375,Izmir
2024-09-11,69.666664,Kocaeli
2024-09-11,71.666664,Manisa
2024-09-11,52.166668,Mus
2024-09-11,75.458336,Sakarya
2024-09-11,81.083336,Tekirdag
2024-09-11,54,Van
2024-09-10,45.923077,Balikesir
2024-09-10,50.76923,Bingöl
2024-09-10,63.923077,Bursa
2024-09-10,74.61539,Çanakkale
2024-09-10,64.23077,Düzce
2024-09-10,36.923077,Erzincan
2024-09-10,62.53846,Istanbul
2024-09-10,50.76923,Izmir
2024-09-10,73.15385,Kocaeli
2024-09-10,47.692307,Manisa
2024-09-10,67.23077,Mus
2024-09-10,74.30769,Sakarya
2024-09-10,71.92308,Tekirdag
2024-09-10,59.153847,Van
